Serial Number,Name,Date,Type,Latitude,Longitude,Number of heroes in panel,Biological sex,Transport to Heaven,Religion,Caste,Class,Left-/right-handedness,Elaborateness of carving,Number of registers on hero-stone,Inscribed or not
1,Agara1,9th-10th Century,Skirmish,12.8344241,77.4869542,1,"M (dress, anatomy)",Transportation not shown -- flanked by apsaras in heaven,Unclear,Unclear,"Royal rich -- parasols, bugle-blowers",RH,Elaborately carved,1,Not inscribed
2,Agara2,9th-10th Century,Cattle Raiding,12.831921,77.485338,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH,Moderately elaborate,1,Not inscribed
3,Agara3,14th-15th Century,Skirmish,12.844055,77.487129,3 (2M; 1F),"M, F (dress, anatomy)","Transportation not shown, but in heaven -- not flanked","Hindu (worship of shivalinga, Nandi Bull)",Dvija (caste thread),"Moderately wealthy (necklaces, armlets, anklets)","RH, RH, RH",Elaborately carved,3,Not inscribed
4,Agara4,9th-10th Century,Cattle Raiding,12.844193,77.487129,1,"M (dress, anatomy)","Transportation not shown, but in heaven -- not flanked",Hindu (worship of shivalinga),Unclear,"Moderately wealthy (necklaces, armlets, anklets)",Ambidextrous,Elaborately carved,1,Not inscribed
5,Agrahara1,14th-15th Century,Unclear Cause ,13.091357,77.619576,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH,Moderately elaborate,1,Not inscribed
6,Amani Doddakere,15th-16th Century,Unclear Cause,12.729891,77.697823,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,Rich??? -- jewels,RH,Moderately elaborate,1,Not inscribed
7,Amani Doddakere2,13th-14th Century,Unclear Cause,12.734077,77.698277,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH,Poorly carved,1,Not inscribed
8,Amani Doddakere3,13th-14th Century,Unclear Cause,12.734139,77.699559,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH,Moderately elaborate,1,Not inscribed
9,Anekal1,14th-15th Century,Sati (Veera Masti),12.7008119,77.706643,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",M: RH; F: unclear,Moderately elaborate,1,Not inscribed
10,Anekal2,16th-17th Century,Rifle ,12.7008131,77.7066486,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH,Semi-moderate,1,Not inscribed
11,Anekal3,13th-14th Century,Unclear Cause,12.700807,77.7066427,3 (2M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)","M: ambidextrous, RH; F: RH",Moderately elaborate,1,Not inscribed
12,Anekal4,14th-15th Century,Unclear Cause,12.7008102,77.706683,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",M: RH; F: unclear,Moderately elaborate,1,Not inscribed
13,Anekal5,14th-15th Century,Sati (Veera Masti),12.7008205,77.70663,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",M: RH; F: unclear,Moderately elaborate,1,Not inscribed
14,Anekal6,14th-15th Century,Sati (Veera Masti),12.70082,77.70662,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,Unclear,M: ambidextrous; F: RH,Moderately elaborate,1,Not inscribed
15,Anekal7,8th-9th Century,Skirmish,12.70264,77.6932,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Royal rich -- jewels, horse, attendant, parasol",RH,Moderately elaborate,1,Inscribed
16,Aradeshanahalli2,9th-10th Century,Cattle Raiding,13.221615,77.564159,1,"M (dress, anatomy)",Transportation not shown -- flanked by apsaras in heaven,Unclear,Unclear,"Poor - no jewels, horses, parasols",Ambidextrous,Moderately elaborate,2,Inscribed
17,Aradeshanahalli3,15th-16th Century,Unclear Cause,13.2192247,77.5674377,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,Unclear,RH,Semi-moderate,1,Not inscribed
18,Aradeshanahalli4,15th-16th Century,Unclear Cause,13.219225,77.56743,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",Ambidextrous,Moderately elaborate,1,Not inscribed
19,Aradeshanahalli5,15th-16th Century,Unclear Cause,13.219225,77.56743,1,Ambiguous gender (blouse and shorts),Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH,Moderately elaborate,1,Not inscribed
20,Aradeshanahalli6,15th-16th Century,Unclear Cause,13.2192198,77.5674337,1,Ambiguous gender (blouse and shorts),Not transported,Hindu (Nandi bull on top of sculpture),Unclear,"Moderately wealthy (necklaces, armlets, anklets)",Ambidextrous,Moderately elaborate,1,Not inscribed
21,Aradeshanahalli7,15th-16th Century,Unclear Cause,13.2192224,77.5674253,1,Ambiguous gender (blouse and shorts),Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",Ambidextrous,Moderately elaborate,1,Not inscribed
