ID,Name,Date,Type,Latitude,Longitude
1,Agara1,9th-10th Century,Skirmish,12.8344241,77.4869542
2,Agara2,9th-10th Century,Cattle Raiding,12.831921,77.485338
3,Agara3,14th-15th Century,Skirmish,12.844055,77.487129
4,Agara4,9th-10th Century,Cattle Raiding,12.844193,77.487129
5,Agrahara1,14th-15th Century,Unclear Cause ,13.091357,77.619576
6,Amani Doddakere,15th-16th Century,Unclear Cause,12.729891,77.697823
7,Amani Doddakere2,13th-14th Century,Unclear Cause,12.734077,77.698277
8,Amani Doddakere3,13th-14th Century,Unclear Cause,12.734139,77.699559
9,Anekal1,14th-15th Century,Sati (Veera Masti),12.7008119,77.706643
10,Anekal2,16th-17th Century,Rifle ,12.7008131,77.7066486
11,Anekal3,13th-14th Century,Unclear Cause,12.700807,77.7066427
12,Anekal4,14th-15th Century,Unclear Cause,12.7008102,77.706683
13,Anekal5,14th-15th Century,Sati (Veera Masti),12.7008205,77.70663
14,Anekal6,14th-15th Century,Sati (Veera Masti),12.70082,77.70662
15,Anekal7,8th-9th Century,Skirmish,12.70264,77.6932
16,Aradeshanahalli2,9th-10th Century,Cattle Raiding,13.221615,77.564159
17,Aradeshanahalli3,15th-16th Century,Unclear Cause,13.2192247,77.5674377
18,Aradeshanahalli4,15th-16th Century,Unclear Cause,13.219225,77.56743
19,Aradeshanahalli5,15th-16th Century,Unclear Cause,13.219225,77.56743
20,Aradeshanahalli6,15th-16th Century,Unclear Cause,13.2192198,77.5674337
21,Aradeshanahalli7,15th-16th Century,Unclear Cause,13.2192224,77.5674253
22,Aradeshanahalli8,15th-16th Century,Sati,13.2192162,77.5674407
23,Arakere1,14th-15th Century,Sati (Veera Masti),13.206639,77.536129
24,Arakere2,14th-15th Century,Sati (Veera Masti),13.206639,77.536129
25,Arehalli1,9th-10th Century,Skirmish,12.936317,77.829513
26,Attibele1,9th-10th Century,Cattle Raiding,12.7763447,77.7712642
27,Avalahalli (Now in Museum)1,13th-14th Century,Skirmish,12.9747694,77.5958
28,Balepete (Ranganathaswamy Temple)1,15th-16th Century,Skirmish,12.9701394,77.5793501
29,Ballur1,10th-11th Century,Sati,12.747326,77.784169
